id_track,duration_sec,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,bars,beats,sections,segments,tatums
6gfUOprNMeD8amncMOSFl0,192.17642,0.16327,188.79565,-2.88,85.019,0.166,4,1.0,1,0.314,1,0.475,68,270,8,658,540
1g5Jqwo02PuitYfv19B6Jn,179.18668,0.27855,175.54866,-4.249,110.042,0.971,4,1.0,5,0.394,0,0.447,81,324,7,702,648
2ib8fuTavdc48X6MjhE4Ft,218.52058,0.20327,215.10385,-3.681,91.033,0.192,4,0.971,10,0.299,0,0.377,81,328,13,705,656
4TzGD5Pryq8DTjv5QRuJaW,246.77448,0.0,241.23212,-3.413,174.094,0.397,4,1.0,7,0.061,1,0.196,178,705,9,868,1410
2Qv8xJzenocwXyGlMU5PaC,195.0,0.0,188.59247,-4.79,95.02,0.316,4,1.0,9,0.501,1,0.343,73,300,7,831,600
73QoCfWJJWbRYmm5nCH5Y2,220.06639,0.1161,213.31592,-3.246,101.05,0.316,4,0.956,0,0.632,0,0.569,91,363,8,754,726
6k0X05danQOXSBTVek5DU1,220.79909,0.62558,217.50133,-1.399,144.852,0.45,4,0.579,5,0.245,0,0.341,133,524,8,621,1048
3pE6Hl7fH4sbjmF9p8gzb5,321.86044,0.0,319.11185,-5.885,128.99,0.754,4,1.0,0,0.666,1,0.487,173,687,15,1614,1374
0evYoPRWnnQ6ACNC0LJPul,432.0,0.0,429.24988,-8.042,124.995,0.896,4,1.0,2,0.012,1,0.343,224,898,15,2160,1796
4l1k3bK6OGwfRqbW5HiyT3,170.64499,0.0,164.6701,-7.015,128.008,0.868,4,1.0,6,0.048,1,0.274,90,358,9,879,716
1xcxd5hIP1hkU3IOebJkuo,239.0839,2.06077,235.80444,-13.712,131.007,0.749,4,0.579,11,0.93,1,1.0,128,519,8,1091,1038
5erkBzi1uzfVzRotIEDevu,211.02948,0.0,211.02948,-8.528,128.012,0.954,4,1.0,10,0.509,0,0.569,113,447,11,999,894
5tfqO6elC42ZwXfIN1aSDk,244.57053,0.23537,236.39075,-6.999,123.007,0.959,4,1.0,1,0.657,1,0.515,124,496,9,1433,992
3mJyZXpI7SKiOA4l0pSm0v,217.74934,0.0,214.4537,-6.204,129.043,0.801,4,1.0,0,0.238,1,0.324,115,465,9,1033,930
32eqGAgvDMAucaoD7es7uv,367.0866,0.0,354.88797,-6.425,126.997,0.933,4,1.0,0,0.317,1,0.39,193,775,15,1865,1550
65YXrDsZER1jlPAqFS9GDH,478.08,0.0,471.99783,-9.289,124.996,0.872,4,1.0,2,0.972,1,0.836,248,994,17,2574,1988
16qXHjHXikXPue7pYMgLx5,203.88281,0.0,191.60526,-9.356,114.973,0.741,4,0.906,7,0.011,1,0.18,95,385,6,1073,770
4uh2UmvDt2b8xrQPsWZhfv,170.41066,2.73995,164.46693,-10.927,85.929,0.06,4,1.0,8,0.721,1,0.716,59,240,5,675,480
1Q1WZGA4ViGoVHzpm2Iuer,201.25015,0.0,184.8018,-6.751,130.037,0.458,4,1.0,2,0.287,0,0.557,107,434,9,824,868
2NVXuJjaw6TJHh0raYymLQ,184.72939,0.10444,182.0967,-10.353,104.957,0.891,4,1.0,6,0.651,0,0.676,80,319,8,797,638
3e8kgXoSaW5MQkpjSw9nYk,166.70667,0.0,156.2761,-11.843,83.081,0.22,4,0.98,7,0.746,1,0.585,55,222,6,490,444
5bnMkmN24WGgSuHrb9Mn4r,197.95203,3.36689,192.88235,-10.848,91.017,0.396,4,1.0,2,0.404,1,0.551,76,298,5,823,596
6pHX4yF2JKjZdSk25DWJKv,235.43745,0.0,222.31364,-10.169,92.005,0.87,4,0.922,7,0.668,0,0.632,89,358,11,1086,716
5wIytrxWis1yWdvAE5z890,176.73334,0.27238,164.7746,-5.739,170.083,0.514,4,1.0,3,0.403,1,0.538,120,481,8,703,962
1tglpfEXwQUApyohKpnmX5,149.63705,0.08698,140.62006,-12.528,129.952,0.542,4,0.91,9,0.527,1,0.577,79,320,8,451,640
1gi7pdVAvM0PALFZWlxnZU,192.74698,0.31946,180.0127,-8.639,120.053,0.235,4,1.0,0,0.712,0,0.753,93,378,9,614,756
6IQBnoeLPehnJaE6sKMhVs,148.36989,0.0,138.43736,-25.582,148.688,0.211,3,1.0,10,0.687,1,0.697,114,341,7,337,682
1eDy2A3euqy3axIdoKgQd5,264.05264,0.76934,246.49142,-25.075,141.252,0.36,4,0.887,7,0.837,1,0.783,150,597,13,470,1194
6WHnRUP50lknLlJBD75SdV,102.72444,0.0,92.22966,-21.949,167.558,0.547,3,1.0,2,0.0,1,0.0,86,262,5,240,524
7aXZXWdW0mhBZxJed1PImP,151.30196,0.0,144.14368,-24.306,119.871,0.827,4,0.993,2,0.675,1,0.807,71,287,6,399,574
085kTV2a1x9CJdnv4NYgOR,137.19456,0.0,129.07973,-24.534,120.35,0.838,4,0.796,2,0.685,1,0.677,66,265,7,350,530
0aDl3mGEr6eZcSwoJo91Np,271.94318,0.42522,241.88226,-24.201,117.686,0.155,4,0.941,0,0.638,0,0.837,125,505,12,642,1010
3K3UgVYPKn8UqylfIa8T8O,148.87502,0.0,143.41225,-19.372,171.459,0.501,4,1.0,9,0.3,1,0.485,101,411,8,402,822
06UlQEupfklesVD0OB2N87,223.88077,0.09211,202.95401,-32.538,67.6,0.075,3,0.878,9,0.516,0,0.631,79,243,10,480,486
5ulQSckssGmu09iyxlgCYc,206.99937,0.40059,191.73878,-21.363,141.764,0.506,4,0.766,7,0.425,1,0.61,118,473,13,462,946
6Ur2PcmVl7DjixesrLL7fE,210.58667,0.08082,196.9981,-10.554,95.06,0.022,1,0.47,0,0.77,1,0.777,80,318,9,625,636
2FSiK95QHH9brWSaO8KlxZ,250.92377,0.0,244.74413,-8.281,91.998,0.302,4,0.929,0,0.28,1,0.76,93,375,12,742,750
7kzSQEKhtPHeGUgbPP3yok,78.05333,0.50499,71.72063,-23.571,77.898,0.482,4,1.0,2,0.665,0,0.625,22,94,3,129,188
73PQ7nIjdvU7j4njeXJbHe,128.62666,0.48739,117.30141,-8.036,143.864,0.307,4,0.942,4,0.784,1,0.533,72,292,7,324,584
582kxTHjj7jzMzsOxgrWfH,75.94712,0.12054,71.00082,-17.12,70.255,0.074,3,1.0,11,0.83,1,0.717,27,85,3,228,170
0VSR4CL0Fsr6231vvU0naK,210.28,0.27283,197.18385,-12.036,99.776,0.047,3,0.412,0,0.75,1,0.771,123,372,9,573,744
5QWD8BatRZzbUhvCQAYE8b,214.01334,0.45859,202.28644,-8.231,147.312,0.08,4,0.703,5,0.569,1,0.547,129,512,7,642,1024
6gsibCeNm8fOruuYoLRRch,223.25333,0.38766,216.39256,-4.221,155.013,0.283,4,0.825,5,0.218,0,0.193,142,564,11,788,1128
4ij2WkPGUaavtMZ03lVLm1,599.4018,3.42494,554.63184,-7.261,137.458,0.077,4,0.63,4,0.527,0,0.497,337,1346,18,1893,2692
7ofwBAXoUjtcgo8IGwhFCk,72.81483,0.31134,72.81483,-25.085,60.028,0.134,4,1.0,0,0.939,1,0.694,17,72,4,241,144
